Número de Pedido;Fecha de venta;Producto;Operador;Región;Cantidad vendida;Ingreso;Tipo de venta
471863;21/03/2024;incubate strategic e-business;29;US;13;59281;caliente
689897;12/03/2024;visualize rich experiences;5,1;IT;15;78443;fría
105744;15/05/2024;whiteboard open-source relationships;44;IT;10;27282;caliente
176137;20/01/2024;disintermediate customized networks;15;UK;3;2734;fría
142651;14/03/2024;revolutionize B2C functionalities;19;Brasil;11;102714;fría
851223;13/05/2024;integrate integrated e-services;9,47;Alemania;8;42013;fría
832840;01/07/2024;strategize plug-and-play convergence;17,12;China;19;167335;caliente
410378;01/03/2024;whiteboard compelling infrastructures;16,54;IT;2;4708;fría
785589;21/05/2024;engineer bleeding-edge initiatives;29;BR;16;21812;fría
584221;03/07/2024;engineer world-class solutions;5,15;ES;5;38907;fría
255948;04/06/2024;e-enable scalable portals;25,39;US;5;27643;caliente
104844;15/05/2024;generate holistic functionalities;56;DE;2;3852;fría
960726;05/02/2024;synthesize granular markets;33;España;2;13318;caliente
638220;20/06/2024;unleash viral synergies;7,56;UK;12;110552;fría
312432;10/05/2024;empower value-added markets;18,46;China;1;419;fría
244854;16/06/2024;iterate turn-key eyeballs;6;United States;10;79885;caliente
378664;07/05/2024;enable out-of-the-box e-tailers;15;IT;13;38597;caliente
812925;09/03/2024;cultivate dot-com content;10;US;4;37703;caliente
136652;28/01/2024;matrix dynamic mindshare;60,45;Japón;17;134214;caliente
925187;14/05/2024;implement customized niches;53,24;BR;20;105081;fría
293770;29/02/2024;matrix world-class partnerships;39;Reino Unido;2;11656;fría
371015;11/04/2024;embrace wireless metrics;3,1;BR;12;17617;fría
695861;23/05/2024;engineer value-added channels;1;BR;20;11241;caliente
263217;13/05/2024;re-contextualize compelling e-commerce;60,27;Alemania;7;29797;fría
363794;29/03/2024;engage back-end deliverables;51,8;España;4;38233;caliente
452302;09/06/2024;whiteboard intuitive web services;14;Francia;7;38617;caliente
122913;05/03/2024;morph distributed portals;37,21;UK;11;5279;caliente
212996;17/04/2024;mesh best-of-breed synergies;4;Italia;2;4058;fría
505699;29/06/2024;incentivize dynamic bandwidth;15;IN;2;17029;fría
532728;16/02/2024;integrate back-end synergies;55;India;15;38986;caliente
144404;26/02/2024;enable bleeding-edge web services;21;Reino Unido;8;5108;caliente
134572;03/05/2024;extend innovative relationships;12;JP;5;20923;caliente
281916;22/02/2024;visualize web-enabled interfaces;29;US;13;120856;caliente
282706;03/03/2024;redefine integrated paradigms;6;US;2;10878;caliente
198474;10/02/2024;monetize cross-media networks;22,45;Japón;9;65654;fría
457299;21/02/2024;matrix front-end users;25,14;España;13;14374;caliente
678382;17/05/2024;scale synergistic mindshare;55;Brasil;6;59589;caliente
590734;26/02/2024;synthesize vertical relationships;39;China;14;1774;caliente
411369;06/02/2024;maximize viral initiatives;6;DE;5;39595;fría
115122;07/06/2024;incentivize dot-com solutions;43,4;JP;18;66235;fría
746830;13/05/2024;streamline transparent mindshare;22,1;Alemania;12;45748;fría
920736;01/07/2024;incentivize web-enabled architectures;12;IT;6;17146;fría
566254;03/06/2024;strategize leading-edge e-markets;13,59;Brasil;16;47859;fría
496347;11/01/2024;leverage end-to-end ROI;53,55;Japón;3;25234;fría
800151;06/04/2024;integrate sticky technologies;34,59;Japón;8;59641;fría
640636;19/06/2024;extend real-time systems;54;IN;17;93767;caliente
923403;23/01/2024;visualize back-end e-business;31;Francia;1;6164;caliente
446384;17/04/2024;disintermediate proactive e-markets;58;US;2;9631;fría
538939;05/06/2024;empower integrated convergence;56;España;9;20691;fría
867782;19/02/2024;re-intermediate cross-platform deliverables;9,1;IN;15;35377;caliente
191442;07/03/2024;aggregate out-of-the-box functionalities;43,31;FR;20;126613;caliente
917121;05/03/2024;utilize synergistic action-items;2,6;ES;10;20001;caliente
816574;15/03/2024;visualize vertical eyeballs;24;Japón;7;7553;fría
197511;13/04/2024;reinvent robust schemas;25,47;ES;5;29147;fría
431462;14/03/2024;expedite wireless systems;1;Japón;4;14637;fría
919507;01/03/2024;scale enterprise ROI;52;España;7;29887;caliente
958590;13/03/2024;e-enable global systems;5,1;Francia;1;5059;fría
476427;14/04/2024;redefine web-enabled supply-chains;60,24;Brasil;13;45696;caliente
171014;14/03/2024;re-intermediate e-business vortals;57,39;Alemania;17;57751;fría
143869;03/04/2024;facilitate rich convergence;6;BR;20;161632;fría
403644;31/05/2024;integrate wireless methodologies;4;Italia;2;3798;caliente
349086;15/01/2024;visualize integrated relationships;3,44;FR;15;122867;caliente
354163;14/04/2024;productize 24/7 experiences;58;Italia;15;21794;caliente
397118;02/04/2024;re-contextualize killer partnerships;19;ES;16;50365;fría
783272;20/05/2024;re-contextualize ubiquitous e-business;2,4;Francia;18;94528;fría
120809;07/01/2024;brand impactful initiatives;43,49;Reino Unido;6;49638;caliente
418975;29/06/2024;incentivize sticky e-commerce;17,24;US;11;23145;caliente
886694;19/02/2024;enable dynamic vortals;10;FR;20;76364;caliente
968123;30/04/2024;matrix distributed functionalities;34,44;US;11;73458;caliente
755444;07/05/2024;expedite virtual paradigms;5,24;India;15;123546;fría
669718;16/05/2024;embrace compelling metrics;4;ES;14;117783;fría
284006;23/06/2024;visualize strategic communities;27;España;11;58827;caliente
247712;21/06/2024;expedite global initiatives;39;DE;6;34948;fría
531580;22/01/2024;strategize sticky relationships;2,27;FR;13;51789;caliente
295729;23/03/2024;strategize enterprise convergence;10;Francia;12;4836;caliente
759080;23/05/2024;brand virtual solutions;6;FR;8;25913;fría
989555;14/02/2024;deploy scalable convergence;53,56;FR;20;22834;caliente
161326;02/01/2024;empower leading-edge models;10;Francia;17;143625;fría
812017;15/03/2024;target efficient architectures;37,58;IN;15;95146;fría
105008;29/02/2024;embrace impactful networks;39;Italia;2;15694;caliente
113649;07/02/2024;cultivate dot-com supply-chains;48,55;India;9;62894;caliente
607175;20/04/2024;monetize global experiences;51,55;IT;10;63235;fría
432563;11/03/2024;evolve bricks-and-clicks e-tailers;1;JP;17;90653;caliente
682885;17/06/2024;re-intermediate granular methodologies;42,15;FR;16;93496;caliente
353820;31/03/2024;embrace best-of-breed technologies;15;UK;15;4491;fría
502445;26/01/2024;re-intermediate frictionless eyeballs;38,36;IT;1;1983;fría
322374;07/04/2024;unleash impactful e-tailers;45;Italia;13;127981;fría
427468;21/06/2024;extend revolutionary channels;43,52;ES;2;16045;fría
266808;16/03/2024;implement clicks-and-mortar e-business;19;Brasil;19;170182;fría
591524;20/04/2024;deploy killer networks;14;Reino Unido;10;35742;fría
261300;08/04/2024;repurpose bricks-and-clicks initiatives;31;FR;11;77231;caliente
357283;07/02/2024;harness extensible markets;6;United States;16;156311;fría
797410;12/04/2024;cultivate enterprise info-mediaries;57,8;Reino Unido;17;64288;fría
417067;19/06/2024;repurpose dynamic infrastructures;33;JP;4;32559;fría
117318;23/03/2024;embrace vertical platforms;48,55;US;13;108044;fría
154820;19/01/2024;empower seamless models;8;United States;6;4149;fría
944941;26/04/2024;streamline cutting-edge solutions;2,1;Francia;10;6931;fría
858387;17/05/2024;whiteboard 24/365 info-mediaries;9,14;United States;12;116321;caliente
516249;17/06/2024;benchmark plug-and-play communities;10;DE;10;15864;caliente
683622;26/04/2024;re-intermediate turn-key e-commerce;51,41;IN;11;36182;fría
417593;04/06/2024;brand real-time paradigms;40,33;Brasil;7;4128;fría
128955;11/05/2024;integrate 24/7 models;41;España;11;87504;fría
237371;19/04/2024;harness sticky e-markets;1;Italia;19;10428;fría
292887;27/05/2024;orchestrate B2B channels;52;IN;14;126138;caliente
463315;14/01/2024;synergize granular experiences;24;Italia;5;27225;caliente
148468;24/05/2024;target robust initiatives;28,58;CN;16;37814;fría
481069;02/07/2024;disintermediate impactful synergies;5,55;India;6;42434;fría
425102;21/03/2024;leverage synergistic paradigms;8;India;17;158744;fría
482675;10/06/2024;monetize extensible e-tailers;39;Italia;3;27085;fría
217330;19/03/2024;incentivize holistic users;36;India;14;121954;fría
296291;14/02/2024;scale next-generation communities;14;China;13;32481;fría
508893;15/01/2024;innovate clicks-and-mortar action-items;10;Brasil;15;149131;fría
507936;15/05/2024;orchestrate one-to-one users;33;FR;12;1471;caliente
240616;25/02/2024;strategize bricks-and-clicks networks;34,35;CN;8;17028;caliente
207718;24/01/2024;monetize plug-and-play e-commerce;20,12;España;12;65777;fría
390714;07/04/2024;disintermediate compelling infrastructures;11,47;DE;20;76959;fría
115178;07/04/2024;e-enable killer mindshare;24;DE;1;5465;fría
472399;01/05/2024;incentivize robust communities;59;FR;10;37498;fría
404646;15/01/2024;innovate revolutionary niches;56;IN;12;1550;fría
997304;04/04/2024;aggregate collaborative info-mediaries;43,52;España;19;177217;fría
536208;02/06/2024;facilitate value-added models;53,33;Reino Unido;7;32146;caliente
752240;01/06/2024;aggregate magnetic interfaces;36;Alemania;18;47898;caliente
633873;30/03/2024;streamline efficient metrics;32,6;India;11;109575;fría
285061;12/03/2024;incentivize scalable e-business;43,27;DE;5;20645;caliente
617578;28/04/2024;synergize cutting-edge web services;12;Brasil;2;17913;caliente
451470;23/05/2024;empower compelling content;4;BR;4;6146;caliente
661432;01/02/2024;extend plug-and-play mindshare;59;UK;16;33481;fría
536238;12/06/2024;transition granular architectures;49;CN;9;85215;caliente
597883;18/02/2024;empower leading-edge platforms;12;ES;18;26668;caliente
739737;17/05/2024;exploit bricks-and-clicks e-markets;48,29;BR;5;22869;fría
436478;23/01/2024;incentivize mission-critical markets;10;Alemania;9;40224;caliente
433102;28/01/2024;revolutionize clicks-and-mortar bandwidth;19;UK;2;2568;fría
976826;03/03/2024;expedite value-added architectures;33;IN;7;52523;fría
276903;22/03/2024;streamline front-end content;9,19;China;1;4927;fría
912303;17/05/2024;envisioneer end-to-end ROI;59;Reino Unido;8;32636;fría
105054;19/04/2024;architect compelling e-tailers;26,27;Francia;2;9029;caliente
720129;02/04/2024;engage real-time action-items;37,39;Japón;5;5475;caliente
584857;31/03/2024;unleash dynamic partnerships;32,3;JP;4;878;caliente
492133;18/01/2024;implement web-enabled action-items;52;Francia;10;7295;caliente
357921;22/04/2024;synthesize magnetic action-items;54;DE;4;31635;caliente
574379;05/06/2024;visualize dot-com methodologies;4;ES;19;60961;caliente
158423;10/04/2024;productize proactive users;4;Alemania;4;32649;fría
955112;25/01/2024;mesh 24/7 paradigms;58;China;6;14988;fría
860380;31/05/2024;disintermediate value-added paradigms;50,15;IT;9;85109;caliente
512861;01/01/2024;whiteboard mission-critical paradigms;39;BR;8;857;caliente
744559;13/06/2024;empower synergistic markets;26,39;India;8;71974;fría
761036;29/03/2024;aggregate 24/7 users;19;UK;14;92926;fría
647721;16/03/2024;innovate strategic platforms;4;JP;2;15659;fría
679379;20/02/2024;enable killer networks;4;IT;20;2017;caliente
121714;26/05/2024;streamline plug-and-play communities;31;IN;1;5442;caliente
707800;17/06/2024;syndicate wireless e-commerce;13,46;DE;1;1424;caliente
502328;09/01/2024;monetize turn-key action-items;41;China;14;51817;fría
989004;06/03/2024;unleash dynamic e-tailers;43,45;DE;7;35857;fría
796175;02/05/2024;transition 24/7 e-services;14;India;4;34744;caliente
104615;17/03/2024;innovate killer e-markets;19;Reino Unido;14;91157;fría
183709;22/02/2024;integrate cross-media e-tailers;32,3;IT;4;15922;caliente
901333;16/04/2024;mesh wireless convergence;45;DE;14;101325;caliente
673197;05/01/2024;disintermediate robust synergies;43,45;Francia;17;76309;fría
744363;31/05/2024;enhance transparent users;28,19;España;13;52558;fría
762236;31/05/2024;enhance next-generation infrastructures;46;Italia;11;39822;fría
948879;12/04/2024;enhance open-source web services;19;España;10;42516;caliente
618602;07/04/2024;exploit extensible e-commerce;2,19;CN;2;17235;fría
112881;15/01/2024;productize proactive convergence;52;España;19;115822;caliente
865334;28/04/2024;incubate innovative platforms;56;United States;1;9215;fría
417319;04/04/2024;matrix world-class platforms;53,54;Japón;12;76057;caliente
925238;13/01/2024;disintermediate killer bandwidth;8;UK;6;16028;caliente
957732;15/05/2024;drive compelling mindshare;53,1;Reino Unido;15;60082;fría
867467;16/04/2024;enhance clicks-and-mortar content;38,59;Italia;20;94803;fría
985219;20/04/2024;leverage one-to-one experiences;14;CN;18;71272;fría
341138;28/05/2024;seize out-of-the-box bandwidth;3,59;España;16;38277;caliente
959953;20/04/2024;engineer visionary functionalities;56;US;16;8861;caliente
515079;27/05/2024;synergize visionary technologies;30;IT;18;163439;caliente
374155;16/05/2024;strategize impactful platforms;19;Italia;19;143761;fría
426265;31/03/2024;iterate back-end content;21;India;2;14531;fría
133918;29/03/2024;aggregate frictionless convergence;58;DE;9;56801;fría
620376;30/04/2024;scale wireless architectures;31;Italia;3;1926;caliente
726350;19/05/2024;monetize virtual bandwidth;32,45;UK;1;9892;fría
835830;29/02/2024;benchmark global methodologies;46;España;19;2681;caliente
911900;22/04/2024;streamline wireless systems;45;Italia;4;29722;fría
129039;14/06/2024;revolutionize next-generation e-commerce;32,24;BR;1;2612;fría
300263;19/06/2024;transition one-to-one initiatives;59;UK;9;62272;fría
867299;24/04/2024;scale visionary niches;21;ES;14;127865;caliente
806922;09/03/2024;whiteboard mission-critical users;12;Italia;19;18955;fría
725496;17/01/2024;scale distributed supply-chains;31;Reino Unido;19;55034;fría
329645;12/06/2024;disintermediate cross-media platforms;31;UK;17;167425;fría
110118;13/02/2024;scale real-time technologies;7,46;United States;8;72139;caliente
928168;17/05/2024;utilize ubiquitous schemas;20,56;Japón;7;39079;caliente
454308;15/03/2024;extend user-centric experiences;18,55;Reino Unido;16;9617;caliente
352820;06/02/2024;synthesize real-time niches;48,44;ES;9;81679;fría
517153;19/01/2024;syndicate 24/365 niches;51,55;India;11;72269;fría
861132;05/06/2024;deliver leading-edge eyeballs;19;Italia;9;5655;fría
581707;30/06/2024;whiteboard efficient functionalities;37,39;US;5;1526;caliente
237026;17/06/2024;target virtual interfaces;45;Japón;8;11396;caliente
673378;20/05/2024;target enterprise architectures;9,46;IT;8;38523;caliente
773572;03/05/2024;innovate dynamic synergies;7,1;Francia;9;63462;fría
639459;23/06/2024;transition vertical convergence;1;Alemania;1;9965;caliente
160033;25/02/2024;re-contextualize cutting-edge supply-chains;46;España;5;21195;caliente
984221;15/03/2024;orchestrate global e-business;4;BR;3;8613;fría
892437;03/07/2024;enable 24/7 deliverables;19;Francia;2;6836;caliente
644053;19/02/2024;cultivate cutting-edge technologies;4;Francia;7;16956;caliente
114668;23/05/2024;target enterprise bandwidth;40,47;Japón;8;66279;fría
584529;03/04/2024;optimize impactful metrics;40,31;Reino Unido;9;50182;caliente
437069;06/06/2024;iterate back-end paradigms;4;Japón;19;33581;fría
573876;09/01/2024;facilitate end-to-end deliverables;7,41;Japón;8;29841;caliente
895619;06/06/2024;streamline efficient relationships;17,24;China;10;24597;fría
983032;29/02/2024;facilitate distributed communities;40,1;Japón;1;574;fría
415081;15/03/2024;whiteboard magnetic metrics;32,35;JP;12;59473;fría
923285;14/04/2024;productize visionary partnerships;22,47;IN;13;41956;caliente
614199;26/04/2024;innovate turn-key technologies;43,8;Alemania;2;16414;fría
263942;26/03/2024;grow magnetic action-items;46;DE;12;5933;caliente
984946;06/05/2024;cultivate integrated e-commerce;1;Francia;8;36131;fría
219804;23/01/2024;exploit customized relationships;48,55;Italia;10;67732;caliente
116115;03/02/2024;incentivize distributed vortals;28,12;Reino Unido;1;5401;fría
658773;03/07/2024;engineer holistic technologies;3,19;BR;2;8605;caliente
465194;24/03/2024;brand synergistic platforms;14;DE;19;7670;caliente
536300;29/06/2024;iterate end-to-end interfaces;39;Brasil;16;47429;fría
544145;27/02/2024;re-intermediate e-business networks;10;ES;7;69373;caliente
484117;18/06/2024;maximize visionary infrastructures;18,56;Alemania;15;3964;caliente
622080;25/02/2024;extend cross-platform synergies;60,8;India;3;8291;fría
502736;27/04/2024;integrate transparent networks;53,19;DE;10;79445;fría
372089;10/04/2024;morph customized e-business;35;Alemania;8;69493;fría
783362;16/03/2024;enhance customized infrastructures;41;UK;14;94399;caliente
380325;09/02/2024;morph world-class web services;53,3;ES;11;92034;caliente
965427;07/03/2024;unleash vertical web-readiness;5,44;CN;16;42316;caliente
137398;28/01/2024;whiteboard 24/365 interfaces;9,24;United States;7;27716;fría
706527;08/03/2024;seize one-to-one relationships;23,1;DE;13;129177;fría
767215;07/03/2024;architect efficient interfaces;25,46;Reino Unido;9;69851;fría
650701;20/06/2024;whiteboard global markets;14;CN;1;2093;caliente
661046;03/03/2024;redefine interactive platforms;38,58;IT;12;55625;fría
126471;21/06/2024;e-enable robust supply-chains;15;Francia;11;28314;caliente
891509;01/07/2024;benchmark e-business models;45;CN;5;2673;caliente
472119;10/05/2024;incentivize impactful functionalities;14;DE;13;74173;caliente
445974;25/02/2024;grow innovative action-items;32,52;Italia;2;9941;caliente
328587;08/06/2024;synthesize world-class interfaces;59;FR;3;14619;caliente
960728;15/04/2024;enhance scalable platforms;7,19;United States;3;24149;fría
284821;21/02/2024;monetize dynamic eyeballs;45;IN;13;78282;caliente
973724;11/02/2024;optimize collaborative e-business;34,46;DE;5;3322;fría
480791;07/06/2024;disintermediate seamless vortals;60,44;Japón;9;59058;fría
822266;11/03/2024;monetize end-to-end web services;21;DE;6;30913;fría
249262;01/06/2024;leverage 24/365 content;59;IT;16;5257;fría
157352;17/03/2024;harness magnetic schemas;46;UK;13;109576;fría
479700;11/04/2024;extend visionary paradigms;34,52;Alemania;16;87985;fría
256967;13/02/2024;evolve customized e-commerce;31;Francia;18;130609;caliente
685939;01/02/2024;facilitate innovative ROI;6;FR;16;76123;caliente
199797;27/04/2024;implement revolutionary e-services;39;España;7;29053;fría
193101;08/02/2024;morph e-business niches;7,54;Brasil;4;14763;caliente
168025;21/02/2024;integrate clicks-and-mortar solutions;21;IN;3;29138;fría
674512;14/05/2024;scale visionary schemas;49;DE;12;58594;caliente
262191;05/03/2024;transition collaborative info-mediaries;9,39;China;15;59911;caliente
483876;27/03/2024;visualize transparent schemas;52;United States;3;3748;fría
